CV1,CV2,free energy (kJ/mol)
-3.0,0.35,inf
-2.94,0.35,inf
-2.88,0.35,inf
-2.82,0.35,inf
-2.76,0.35,74.2243
-2.7,0.35,61.6284
-2.64,0.35,49.4828
-2.58,0.35,40.9231
-2.52,0.35,35.3253
-2.46,0.35,31.7628
-2.4,0.35,28.3477
-2.34,0.35,25.3999
-2.28,0.35,23.7459
-2.22,0.35,23.2447
-2.16,0.35,23.8672
-2.1,0.35,25.3389
-2.04,0.35,26.8542
-1.98,0.35,28.4751
-1.92,0.35,30.6685
-1.86,0.35,32.2238
-1.8,0.35,34.9446
-1.74,0.35,40.4201
-1.68,0.35,46.1706
-1.62,0.35,49.769
-1.56,0.35,56.1863
-1.5,0.35,64.3506
-1.44,0.35,66.9191
-1.38,0.35,60.7618
-1.32,0.35,57.4673
-1.26,0.35,57.7564
-1.2,0.35,61.6263
-1.14,0.35,69.0533
-1.08,0.35,86.1275
-1.02,0.35,107.6246
-0.96,0.35,114.3717
-0.9,0.35,124.5568
-0.84,0.35,inf
-0.78,0.35,inf
-0.72,0.35,inf
-0.66,0.35,inf
-0.6,0.35,inf
-0.54,0.35,inf
-0.48,0.35,inf
-0.42,0.35,inf
-0.36,0.35,inf
-0.3,0.35,inf
-0.24,0.35,inf
-0.18,0.35,inf
-0.12,0.35,inf
-0.06,0.35,inf
-0.0,0.35,inf
0.06,0.35,inf
0.12,0.35,inf
0.18,0.35,inf
0.24,0.35,inf
0.3,0.35,inf
0.36,0.35,inf
0.42,0.35,inf
0.48,0.35,inf
0.54,0.35,inf
0.6,0.35,inf
0.66,0.35,inf
0.72,0.35,inf
0.78,0.35,inf
0.84,0.35,inf
0.9,0.35,inf
0.96,0.35,inf
1.02,0.35,inf
1.08,0.35,inf
1.14,0.35,inf
1.2,0.35,inf
1.26,0.35,inf
1.32,0.35,inf
1.38,0.35,inf
1.44,0.35,inf
1.5,0.35,inf
1.56,0.35,inf
1.62,0.35,inf
1.68,0.35,inf
1.74,0.35,inf
1.8,0.35,inf
1.86,0.35,inf
1.92,0.35,inf
1.98,0.35,inf
2.04,0.35,inf
2.1,0.35,inf
2.16,0.35,inf
2.22,0.35,inf
2.28,0.35,inf
2.34,0.35,inf
2.4,0.35,inf
2.46,0.35,inf
2.52,0.35,inf
2.58,0.35,inf
2.64,0.35,inf
2.7,0.35,inf
2.76,0.35,inf
2.82,0.35,inf
2.88,0.35,inf
2.94,0.35,inf
3.0,0.35,inf
-3.0,0.3665,68.8128
-2.94,0.3665,56.5659
-2.88,0.3665,47.9109
-2.82,0.3665,42.7942
-2.76,0.3665,40.1384
-2.7,0.3665,36.008
-2.64,0.3665,33.217
-2.58,0.3665,31.9157
-2.52,0.3665,28.5189
-2.46,0.3665,24.6279
-2.4,0.3665,21.4923
-2.34,0.3665,19.4869
-2.28,0.3665,18.3444
-2.22,0.3665,17.9849
-2.16,0.3665,18.4089
-2.1,0.3665,19.6214
-2.04,0.3665,21.355
-1.98,0.3665,23.1688
-1.92,0.3665,24.9841
-1.86,0.3665,26.6662
-1.8,0.3665,29.1502
-1.74,0.3665,31.3513
-1.68,0.3665,32.9484
-1.62,0.3665,35.6812
-1.56,0.3665,35.8381
-1.5,0.3665,35.388
-1.44,0.3665,37.8646
-1.38,0.3665,43.8065
-1.32,0.3665,55.0783
-1.26,0.3665,55.3962
-1.2,0.3665,59.2695
-1.14,0.3665,66.6838
-1.08,0.3665,83.0348
-1.02,0.3665,104.7709
-0.96,0.3665,110.8466
-0.9,0.3665,119.1698
-0.84,0.3665,inf
-0.78,0.3665,inf
-0.72,0.3665,inf
-0.66,0.3665,inf
-0.6,0.3665,inf
-0.54,0.3665,inf
-0.48,0.3665,inf
-0.42,0.3665,inf
-0.36,0.3665,inf
-0.3,0.3665,inf
-0.24,0.3665,inf
-0.18,0.3665,inf
-0.12,0.3665,inf
-0.06,0.3665,inf
-0.0,0.3665,inf
0.06,0.3665,inf
0.12,0.3665,inf
0.18,0.3665,inf
0.24,0.3665,inf
0.3,0.3665,inf
0.36,0.3665,inf
0.42,0.3665,inf
0.48,0.3665,inf
0.54,0.3665,inf
0.6,0.3665,inf
0.66,0.3665,inf
0.72,0.3665,inf
0.78,0.3665,inf
0.84,0.3665,inf
0.9,0.3665,inf
0.96,0.3665,inf
1.02,0.3665,inf
1.08,0.3665,inf
1.14,0.3665,inf
1.2,0.3665,inf
1.26,0.3665,inf
1.32,0.3665,inf
1.38,0.3665,inf
1.44,0.3665,inf
1.5,0.3665,inf
1.56,0.3665,inf
1.62,0.3665,inf
1.68,0.3665,inf
1.74,0.3665,inf
1.8,0.3665,inf
1.86,0.3665,inf
1.92,0.3665,inf
1.98,0.3665,inf
2.04,0.3665,inf
2.1,0.3665,inf
2.16,0.3665,inf
2.22,0.3665,inf
2.28,0.3665,inf
2.34,0.3665,inf
2.4,0.3665,inf
2.46,0.3665,inf
2.52,0.3665,inf
2.58,0.3665,inf
2.64,0.3665,inf
2.7,0.3665,inf
2.76,0.3665,inf
2.82,0.3665,inf
2.88,0.3665,inf
2.94,0.3665,inf
3.0,0.3665,inf
-3.0,0.383,65.7351
-2.94,0.383,53.4882
-2.88,0.383,44.833
-2.82,0.383,39.7132
-2.76,0.383,37.0271
-2.7,0.383,32.8307
-2.64,0.383,29.7717
-2.58,0.383,27.7131
-2.52,0.383,24.0528
-2.46,0.383,20.1944
-2.4,0.383,17.2116
-2.34,0.383,15.2849
-2.28,0.383,14.2098
-2.22,0.383,13.8955
-2.16,0.383,14.3432
-2.1,0.383,15.5729
-2.04,0.383,17.3708
-1.98,0.383,19.2827
-1.92,0.383,21.0964
-1.86,0.383,22.8942
-1.8,0.383,25.2215
-1.74,0.383,27.2682
-1.68,0.383,29.2002
-1.62,0.383,31.9928
-1.56,0.383,32.5185
-1.5,0.383,32.3424
-1.44,0.383,34.863
-1.38,0.383,40.8133
-1.32,0.383,52.9745
-1.26,0.383,53.3107
-1.2,0.383,57.1829
-1.14,0.383,64.5774
-1.08,0.383,80.2142
-1.02,0.383,102.348
-0.96,0.383,108.3162
-0.9,0.383,116.4613
-0.84,0.383,inf
-0.78,0.383,inf
-0.72,0.383,inf
-0.66,0.383,inf
-0.6,0.383,inf
-0.54,0.383,inf
-0.48,0.383,inf
-0.42,0.383,inf
-0.36,0.383,inf
-0.3,0.383,inf
-0.24,0.383,inf
-0.18,0.383,inf
-0.12,0.383,inf
-0.06,0.383,inf
-0.0,0.383,inf
0.06,0.383,inf
0.12,0.383,inf
0.18,0.383,inf
0.24,0.383,inf
0.3,0.383,inf
0.36,0.383,inf
0.42,0.383,inf
0.48,0.383,inf
0.54,0.383,inf
0.6,0.383,inf
0.66,0.383,inf
0.72,0.383,inf
0.78,0.383,inf
0.84,0.383,inf
0.9,0.383,inf
0.96,0.383,inf
1.02,0.383,inf
1.08,0.383,inf
1.14,0.383,inf
1.2,0.383,inf
1.26,0.383,inf
1.32,0.383,inf
1.38,0.383,inf
1.44,0.383,inf
1.5,0.383,inf
1.56,0.383,inf
1.62,0.383,inf
1.68,0.383,inf
1.74,0.383,inf
1.8,0.383,inf
1.86,0.383,inf
1.92,0.383,inf
1.98,0.383,inf
2.04,0.383,inf
2.1,0.383,inf
2.16,0.383,inf
2.22,0.383,inf
2.28,0.383,inf
2.34,0.383,inf
2.4,0.383,inf
2.46,0.383,inf
2.52,0.383,inf
2.58,0.383,inf
2.64,0.383,inf
2.7,0.383,inf
2.76,0.383,inf
2.82,0.383,inf
2.88,0.383,inf
2.94,0.383,inf
3.0,0.383,inf
-3.0,0.3995,55.0744
-2.94,0.3995,45.325
-2.88,0.3995,38.8563
-2.82,0.3995,35.3721
-2.76,0.3995,33.803
-2.7,0.3995,29.9692
-2.64,0.3995,26.8203
-2.58,0.3995,24.3359
-2.52,0.3995,20.4347
-2.46,0.3995,16.6793
-2.4,0.3995,13.815
-2.34,0.3995,11.945
-2.28,0.3995,10.8908
-2.22,0.3995,10.576
-2.16,0.3995,11.0059
-2.1,0.3995,12.1859
-2.04,0.3995,13.9193
-1.98,0.3995,15.7811
-1.92,0.3995,17.5443
-1.86,0.3995,19.3659
-1.8,0.3995,21.6273
-1.74,0.3995,23.7318
-1.68,0.3995,25.9063
-1.62,0.3995,28.3236
-1.56,0.3995,29.0012
-1.5,0.3995,29.3799
-1.44,0.3995,32.0833
-1.38,0.3995,38.091
-1.32,0.3995,51.1377
-1.26,0.3995,51.4941
-1.2,0.3995,55.3636
-1.14,0.3995,62.7316
-1.08,0.3995,77.6651
-1.02,0.3995,100.1884
-0.96,0.3995,106.0343
-0.9,0.3995,114.0005
-0.84,0.3995,inf
-0.78,0.3995,inf
-0.72,0.3995,inf
-0.66,0.3995,inf
-0.6,0.3995,inf
-0.54,0.3995,inf
-0.48,0.3995,inf
-0.42,0.3995,inf
-0.36,0.3995,inf
-0.3,0.3995,inf
-0.24,0.3995,inf
-0.18,0.3995,inf
-0.12,0.3995,inf
-0.06,0.3995,inf
-0.0,0.3995,inf
0.06,0.3995,inf
0.12,0.3995,inf
0.18,0.3995,inf
0.24,0.3995,inf
0.3,0.3995,inf
0.36,0.3995,inf
0.42,0.3995,inf
0.48,0.3995,inf
0.54,0.3995,inf
0.6,0.3995,inf
0.66,0.3995,inf
0.72,0.3995,inf
0.78,0.3995,inf
0.84,0.3995,inf
0.9,0.3995,inf
0.96,0.3995,inf
1.02,0.3995,inf
1.08,0.3995,inf
1.14,0.3995,inf
1.2,0.3995,inf
1.26,0.3995,inf
1.32,0.3995,inf
1.38,0.3995,inf
1.44,0.3995,inf
1.5,0.3995,inf
1.56,0.3995,inf
1.62,0.3995,inf
1.68,0.3995,inf
1.74,0.3995,inf
1.8,0.3995,inf
1.86,0.3995,inf
1.92,0.3995,inf
1.98,0.3995,inf
2.04,0.3995,inf
2.1,0.3995,inf
2.16,0.3995,inf
2.22,0.3995,inf
2.28,0.3995,inf
2.34,0.3995,inf
2.4,0.3995,inf
2.46,0.3995,inf
2.52,0.3995,inf
2.58,0.3995,inf
2.64,0.3995,inf
2.7,0.3995,inf
2.76,0.3995,inf
2.82,0.3995,inf
2.88,0.3995,inf
2.94,0.3995,inf
3.0,0.3995,inf
-3.0,0.416,52.2287
-2.94,0.416,42.5019
-2.88,0.416,36.0825
-2.82,0.416,32.668
-2.76,0.416,31.1403
-2.7,0.416,27.3672
-2.64,0.416,24.2012
-2.58,0.416,21.5653
-2.52,0.416,17.5571
-2.46,0.416,13.7871
-2.4,0.416,10.9454
-2.34,0.416,9.0864
-2.28,0.416,8.0381
-2.22,0.416,7.7321
-2.16,0.416,8.1624
-2.1,0.416,9.3147
-2.04,0.416,10.9965
-1.98,0.416,12.8267
-1.92,0.416,14.581
-1.86,0.416,16.3865
-1.8,0.416,18.5319
-1.74,0.416,20.6549
-1.68,0.416,22.9552
-1.62,0.416,25.3805
-1.56,0.416,26.26
-1.5,0.416,26.7199
-1.44,0.416,29.0423
-1.38,0.416,31.9465
-1.32,0.416,35.1753
-1.26,0.416,41.2355
-1.2,0.416,53.8091
-1.14,0.416,61.143
-1.08,0.416,75.3877
-1.02,0.416,98.2907
-0.96,0.416,103.9996
-0.9,0.416,111.7899
-0.84,0.416,inf
-0.78,0.416,inf
-0.72,0.416,inf
-0.66,0.416,inf
-0.6,0.416,inf
-0.54,0.416,inf
-0.48,0.416,inf
-0.42,0.416,inf
-0.36,0.416,inf
-0.3,0.416,inf
-0.24,0.416,inf
-0.18,0.416,inf
-0.12,0.416,inf
-0.06,0.416,inf
-0.0,0.416,inf
0.06,0.416,inf
0.12,0.416,inf
0.18,0.416,inf
0.24,0.416,inf
0.3,0.416,inf
0.36,0.416,inf
0.42,0.416,inf
0.48,0.416,inf
0.54,0.416,inf
0.6,0.416,inf
0.66,0.416,inf
0.72,0.416,inf
0.78,0.416,inf
0.84,0.416,inf
0.9,0.416,inf
0.96,0.416,inf
1.02,0.416,inf
1.08,0.416,inf
1.14,0.416,inf
1.2,0.416,inf
1.26,0.416,inf
1.32,0.416,inf
1.38,0.416,inf
1.44,0.416,inf
1.5,0.416,inf
1.56,0.416,inf
1.62,0.416,inf
1.68,0.416,inf
1.74,0.416,inf
1.8,0.416,inf
1.86,0.416,inf
1.92,0.416,inf
1.98,0.416,inf
2.04,0.416,inf
2.1,0.416,inf
2.16,0.416,inf
2.22,0.416,inf
2.28,0.416,inf
2.34,0.416,inf
2.4,0.416,inf
2.46,0.416,inf
2.52,0.416,inf
2.58,0.416,inf
2.64,0.416,inf
2.7,0.416,inf
2.76,0.416,inf
2.82,0.416,inf
2.88,0.416,inf
2.94,0.416,inf
3.0,0.416,inf
-3.0,0.4325,49.6532
-2.94,0.4325,39.9466
-2.88,0.4325,33.5738
-2.82,0.4325,30.2351
-2.76,0.4325,28.7699
-2.7,0.4325,25.0146
-2.64,0.4325,21.8309
-2.58,0.4325,19.0932
-2.52,0.4325,15.0164
-2.46,0.4325,11.2409
-2.4,0.4325,8.4169
-2.34,0.4325,6.568
-2.28,0.4325,5.5246
-2.22,0.4325,5.2247
-2.16,0.4325,5.653
-2.1,0.4325,6.7818
-2.04,0.4325,8.4268
-1.98,0.4325,10.2325
-1.92,0.4325,11.9723
-1.86,0.4325,13.7648
-1.8,0.4325,15.8395
-1.74,0.4325,17.9594
-1.68,0.4325,20.3083
-1.62,0.4325,22.684
-1.56,0.4325,23.6496
-1.5,0.4325,24.2821
-1.44,0.4325,26.5938
-1.38,0.4325,29.0872
-1.32,0.4325,32.1459
-1.26,0.4325,38.1974
-1.2,0.4325,51.4541
-1.14,0.4325,59.8069
-1.08,0.4325,73.309
-1.02,0.4325,82.3946
-0.96,0.4325,85.9869
-0.9,0.4325,93.1672
-0.84,0.4325,inf
-0.78,0.4325,inf
-0.72,0.4325,inf
-0.66,0.4325,inf
-0.6,0.4325,inf
-0.54,0.4325,inf
-0.48,0.4325,inf
-0.42,0.4325,inf
-0.36,0.4325,inf
-0.3,0.4325,inf
-0.24,0.4325,inf
-0.18,0.4325,inf
-0.12,0.4325,inf
-0.06,0.4325,inf
-0.0,0.4325,inf
0.06,0.4325,inf
0.12,0.4325,inf
0.18,0.4325,inf
0.24,0.4325,inf
0.3,0.4325,inf
0.36,0.4325,inf
0.42,0.4325,inf
0.48,0.4325,inf
0.54,0.4325,inf
0.6,0.4325,inf
0.66,0.4325,inf
0.72,0.4325,inf
0.78,0.4325,inf
0.84,0.4325,inf
0.9,0.4325,inf
0.96,0.4325,inf
1.02,0.4325,inf
1.08,0.4325,inf
1.14,0.4325,inf
1.2,0.4325,inf
1.26,0.4325,inf
1.32,0.4325,inf
1.38,0.4325,inf
1.44,0.4325,inf
1.5,0.4325,inf
1.56,0.4325,inf
1.62,0.4325,inf
1.68,0.4325,inf
1.74,0.4325,inf
1.8,0.4325,inf
1.86,0.4325,inf
1.92,0.4325,inf
1.98,0.4325,inf
2.04,0.4325,inf
2.1,0.4325,inf
2.16,0.4325,inf
2.22,0.4325,inf
2.28,0.4325,inf
2.34,0.4325,inf
2.4,0.4325,inf
2.46,0.4325,inf
2.52,0.4325,inf
2.58,0.4325,inf
2.64,0.4325,inf
2.7,0.4325,inf
2.76,0.4325,inf
2.82,0.4325,inf
2.88,0.4325,inf
2.94,0.4325,inf
3.0,0.4325,inf
-3.0,0.449,47.3479
-2.94,0.449,37.6593
-2.88,0.449,31.329
-2.82,0.449,28.0627
-2.76,0.449,26.6692
-2.7,0.449,22.9523
-2.64,0.449,19.7428
-2.58,0.449,16.8822
-2.52,0.449,12.7387
-2.46,0.449,8.9629
-2.4,0.449,6.1542
-2.34,0.449,4.3127
-2.28,0.449,3.2733
-2.22,0.449,2.9775
-2.16,0.449,3.4031
-2.1,0.449,4.5094
-2.04,0.449,6.1197
-1.98,0.449,7.9043
-1.92,0.449,9.6327
-1.86,0.449,11.4118
-1.8,0.449,13.4251
-1.74,0.449,15.5481
-1.68,0.449,17.9461
-1.62,0.449,20.2779
-1.56,0.449,21.3559
-1.5,0.449,22.1524
-1.44,0.449,24.3901
-1.38,0.449,26.4632
-1.32,0.449,29.3943
-1.26,0.449,35.4367
-1.2,0.449,48.9794
-1.14,0.449,58.5247
-1.08,0.449,71.5253
-1.02,0.449,79.3292
-0.96,0.449,82.9191
-0.9,0.449,90.099
-0.84,0.449,inf
-0.78,0.449,inf
-0.72,0.449,inf
-0.66,0.449,inf
-0.6,0.449,inf
-0.54,0.449,inf
-0.48,0.449,inf
-0.42,0.449,inf
-0.36,0.449,inf
-0.3,0.449,inf
-0.24,0.449,inf
-0.18,0.449,inf
-0.12,0.449,inf
-0.06,0.449,inf
-0.0,0.449,inf
0.06,0.449,inf
0.12,0.449,inf
0.18,0.449,inf
0.24,0.449,inf
0.3,0.449,inf
0.36,0.449,inf
0.42,0.449,inf
0.48,0.449,inf
0.54,0.449,inf
0.6,0.449,inf
0.66,0.449,inf
0.72,0.449,inf
0.78,0.449,inf
0.84,0.449,inf
0.9,0.449,inf
0.96,0.449,inf
1.02,0.449,inf
1.08,0.449,inf
1.14,0.449,inf
1.2,0.449,inf
1.26,0.449,inf
1.32,0.449,inf
1.38,0.449,inf
1.44,0.449,inf
1.5,0.449,inf
1.56,0.449,inf
1.62,0.449,inf
1.68,0.449,inf
1.74,0.449,inf
1.8,0.449,inf
1.86,0.449,inf
1.92,0.449,inf
1.98,0.449,inf
2.04,0.449,inf
2.1,0.449,inf
2.16,0.449,inf
2.22,0.449,inf
2.28,0.449,inf
2.34,0.449,inf
2.4,0.449,inf
2.46,0.449,inf
2.52,0.449,inf
2.58,0.449,inf
2.64,0.449,inf
2.7,0.449,inf
2.76,0.449,inf
2.82,0.449,inf
2.88,0.449,inf
2.94,0.449,inf
3.0,0.449,inf
-3.0,0.4655,45.313
-2.94,0.4655,35.6405
-2.88,0.4655,29.3489
-2.82,0.4655,26.1501
-2.76,0.4655,24.8222
-2.7,0.4655,21.1471
-2.64,0.4655,17.9085
-2.58,0.4655,14.9025
-2.52,0.4655,10.6951
-2.46,0.4655,6.9246
-2.4,0.4655,4.1295
-2.34,0.4655,2.2917
-2.28,0.4655,1.2531
-2.22,0.4655,0.9603
-2.16,0.4655,1.3841
-2.1,0.4655,2.4698
-2.04,0.4655,4.046
-1.98,0.4655,5.8079
-1.92,0.4655,7.5266
-1.86,0.4655,9.2922
-1.8,0.4655,11.251
-1.74,0.4655,13.3788
-1.68,0.4655,15.8222
-1.62,0.4655,18.1258
-1.56,0.4655,19.3014
-1.5,0.4655,20.2465
-1.44,0.4655,22.4001
-1.38,0.4655,24.087
-1.32,0.4655,26.9235
-1.26,0.4655,32.9641
-1.2,0.4655,46.7287
-1.14,0.4655,57.4162
-1.08,0.4655,69.9806
-1.02,0.4655,76.5334
-0.96,0.4655,80.1222
-0.9,0.4655,87.3019
-0.84,0.4655,inf
-0.78,0.4655,inf
-0.72,0.4655,inf
-0.66,0.4655,inf
-0.6,0.4655,inf
-0.54,0.4655,inf
-0.48,0.4655,inf
-0.42,0.4655,inf
-0.36,0.4655,inf
-0.3,0.4655,inf
-0.24,0.4655,inf
-0.18,0.4655,inf
-0.12,0.4655,inf
-0.06,0.4655,inf
-0.0,0.4655,inf
0.06,0.4655,inf
0.12,0.4655,inf
0.18,0.4655,inf
0.24,0.4655,inf
0.3,0.4655,inf
0.36,0.4655,inf
0.42,0.4655,inf
0.48,0.4655,inf
0.54,0.4655,inf
0.6,0.4655,inf
0.66,0.4655,inf
0.72,0.4655,inf
0.78,0.4655,inf
0.84,0.4655,inf
0.9,0.4655,inf
0.96,0.4655,inf
1.02,0.4655,inf
1.08,0.4655,inf
1.14,0.4655,inf
1.2,0.4655,inf
1.26,0.4655,inf
1.32,0.4655,inf
1.38,0.4655,inf
1.44,0.4655,inf
1.5,0.4655,inf
1.56,0.4655,inf
1.62,0.4655,inf
1.68,0.4655,inf
1.74,0.4655,inf
1.8,0.4655,inf
1.86,0.4655,inf
1.92,0.4655,inf
1.98,0.4655,inf
2.04,0.4655,inf
2.1,0.4655,inf
2.16,0.4655,inf
2.22,0.4655,inf
2.28,0.4655,inf
2.34,0.4655,inf
2.4,0.4655,inf
2.46,0.4655,inf
2.52,0.4655,inf
2.58,0.4655,inf
2.64,0.4655,inf
2.7,0.4655,inf
2.76,0.4655,inf
2.82,0.4655,inf
2.88,0.4655,inf
2.94,0.4655,inf
3.0,0.4655,inf
-3.0,0.482,43.5487
-2.94,0.482,33.8905
-2.88,0.482,27.6337
-2.82,0.482,24.4972
-2.76,0.482,23.2251
-2.7,0.482,19.5943
-2.64,0.482,16.3279
-2.58,0.482,13.1665
-2.52,0.482,8.888
-2.46,0.482,5.1171
-2.4,0.482,2.3318
-2.34,0.482,0.4947
-2.28,0.482,-0.5449
-2.22,0.482,-0.8353
-2.16,0.482,-0.4135
-2.1,0.482,0.6501
-2.04,0.482,2.1896
-1.98,0.482,3.9271
-1.92,0.482,5.6376
-1.86,0.482,7.3881
-1.8,0.482,9.2964
-1.74,0.482,11.4334
-1.68,0.482,13.9099
-1.62,0.482,16.1832
-1.56,0.482,17.4521
-1.5,0.482,18.5385
-1.44,0.482,20.5968
-1.38,0.482,21.9515
-1.32,0.482,24.7191
-1.26,0.482,30.7286
-1.2,0.482,38.6627
-1.14,0.482,38.7463
-1.08,0.482,42.147
-1.02,0.482,49.1339
-0.96,0.482,77.5965
-0.9,0.482,84.7762
-0.84,0.482,inf
-0.78,0.482,inf
-0.72,0.482,inf
-0.66,0.482,inf
-0.6,0.482,inf
-0.54,0.482,inf
-0.48,0.482,inf
-0.42,0.482,inf
-0.36,0.482,inf
-0.3,0.482,inf
-0.24,0.482,inf
-0.18,0.482,inf
-0.12,0.482,inf
-0.06,0.482,inf
-0.0,0.482,inf
0.06,0.482,inf
0.12,0.482,inf
0.18,0.482,inf
0.24,0.482,inf
0.3,0.482,inf
0.36,0.482,inf
0.42,0.482,inf
0.48,0.482,inf
0.54,0.482,inf
0.6,0.482,inf
0.66,0.482,inf
0.72,0.482,inf
0.78,0.482,inf
0.84,0.482,inf
0.9,0.482,inf
0.96,0.482,inf
1.02,0.482,inf
1.08,0.482,inf
1.14,0.482,inf
1.2,0.482,inf
1.26,0.482,inf
1.32,0.482,inf
1.38,0.482,inf
1.44,0.482,inf
1.5,0.482,inf
1.56,0.482,inf
1.62,0.482,inf
1.68,0.482,inf
1.74,0.482,inf
1.8,0.482,inf
1.86,0.482,inf
1.92,0.482,inf
1.98,0.482,inf
2.04,0.482,inf
2.1,0.482,inf
2.16,0.482,inf
2.22,0.482,inf
2.28,0.482,inf
2.34,0.482,inf
2.4,0.482,inf
2.46,0.482,inf
2.52,0.482,inf
2.58,0.482,inf
2.64,0.482,inf
2.7,0.482,inf
2.76,0.482,inf
2.82,0.482,inf
2.88,0.482,inf
2.94,0.482,inf
3.0,0.482,inf
-3.0,0.4985,42.0551
-2.94,0.4985,32.4096
-2.88,0.4985,26.1841
-2.82,0.4985,23.1039
-2.76,0.4985,21.8732
-2.7,0.4985,18.2857
-2.64,0.4985,14.9918
-2.58,0.4985,11.6595
-2.52,0.4985,7.3078
-2.46,0.4985,3.5354
-2.4,0.4985,0.7563
-2.34,0.4985,-1.0829
-2.28,0.4985,-2.1254
-2.22,0.4985,-2.4137
-2.16,0.4985,-1.9942
-2.1,0.4985,-0.9542
-2.04,0.4985,0.5465
-1.98,0.4985,2.2574
-1.92,0.4985,3.9582
-1.86,0.4985,5.6905
-1.8,0.4985,7.552
-1.74,0.4985,9.6989
-1.68,0.4985,12.2006
-1.62,0.4985,14.4439
-1.56,0.4985,15.7961
-1.5,0.4985,17.0194
-1.44,0.4985,18.9893
-1.38,0.4985,20.0694
-1.32,0.4985,22.7857
-1.26,0.4985,28.7693
-1.2,0.4985,35.7058
-1.14,0.4985,35.7158
-1.08,0.4985,39.0832
-1.02,0.4985,45.9092
-0.96,0.4985,58.7747
-0.9,0.4985,80.9342
-0.84,0.4985,76.5403
-0.78,0.4985,73.8595
-0.72,0.4985,74.7705
-0.66,0.4985,79.2734
-0.6,0.4985,87.3682
-0.54,0.4985,inf
-0.48,0.4985,inf
-0.42,0.4985,inf
-0.36,0.4985,inf
-0.3,0.4985,inf
-0.24,0.4985,inf
-0.18,0.4985,inf
-0.12,0.4985,inf
-0.06,0.4985,inf
-0.0,0.4985,inf
0.06,0.4985,inf
0.12,0.4985,inf
0.18,0.4985,inf
0.24,0.4985,inf
0.3,0.4985,inf
0.36,0.4985,inf
0.42,0.4985,inf
0.48,0.4985,inf
0.54,0.4985,inf
0.6,0.4985,inf
0.66,0.4985,inf
0.72,0.4985,inf
0.78,0.4985,inf
0.84,0.4985,inf
0.9,0.4985,inf
0.96,0.4985,inf
1.02,0.4985,inf
1.08,0.4985,inf
1.14,0.4985,inf
1.2,0.4985,inf
1.26,0.4985,inf
1.32,0.4985,inf
1.38,0.4985,inf
1.44,0.4985,inf
1.5,0.4985,inf
1.56,0.4985,inf
1.62,0.4985,inf
1.68,0.4985,inf
1.74,0.4985,inf
1.8,0.4985,inf
1.86,0.4985,inf
1.92,0.4985,inf
1.98,0.4985,inf
2.04,0.4985,inf
2.1,0.4985,inf
2.16,0.4985,inf
2.22,0.4985,inf
2.28,0.4985,inf
2.34,0.4985,inf
2.4,0.4985,inf
2.46,0.4985,inf
2.52,0.4985,inf
2.58,0.4985,inf
2.64,0.4985,inf
2.7,0.4985,inf
2.76,0.4985,inf
2.82,0.4985,inf
2.88,0.4985,inf
2.94,0.4985,inf
3.0,0.4985,inf
-3.0,0.515,40.8323
-2.94,0.515,31.198
-2.88,0.515,25.0005
-2.82,0.515,21.9698
-2.76,0.515,20.7617
-2.7,0.515,17.2142
-2.64,0.515,13.8941
-2.58,0.515,10.3766
-2.52,0.515,5.9517
-2.46,0.515,2.1767
-2.4,0.515,-0.6003
-2.34,0.515,-2.4443
-2.28,0.515,-3.4911
-2.22,0.515,-3.7782
-2.16,0.515,-3.3616
-2.1,0.515,-2.3473
-2.04,0.515,-0.8875
-1.98,0.515,0.7953
-1.92,0.515,2.4853
-1.86,0.515,4.1956
-1.8,0.515,6.0116
-1.74,0.515,8.1671
-1.68,0.515,10.6851
-1.62,0.515,12.9046
-1.56,0.515,14.3309
-1.5,0.515,15.6767
-1.44,0.515,17.5694
-1.38,0.515,18.44
-1.32,0.515,21.1193
-1.26,0.515,27.066
-1.2,0.515,32.9983
-1.14,0.515,32.9631
-1.08,0.515,36.3245
-1.02,0.515,42.8928
-0.96,0.515,46.5178
-0.9,0.515,47.8337
-0.84,0.515,52.6676
-0.78,0.515,60.9486
-0.72,0.515,69.5237
-0.66,0.515,73.7329
-0.6,0.515,81.2427
-0.54,0.515,inf
-0.48,0.515,inf
-0.42,0.515,inf
-0.36,0.515,inf
-0.3,0.515,inf
-0.24,0.515,inf
-0.18,0.515,inf
-0.12,0.515,inf
-0.06,0.515,inf
-0.0,0.515,inf
0.06,0.515,inf
0.12,0.515,inf
0.18,0.515,inf
0.24,0.515,inf
0.3,0.515,inf
0.36,0.515,inf
0.42,0.515,inf
0.48,0.515,inf
0.54,0.515,inf
0.6,0.515,inf
0.66,0.515,inf
0.72,0.515,inf
0.78,0.515,inf
0.84,0.515,inf
0.9,0.515,inf
0.96,0.515,inf
1.02,0.515,inf
1.08,0.515,inf
1.14,0.515,inf
1.2,0.515,inf
1.26,0.515,inf
1.32,0.515,inf
1.38,0.515,inf
1.44,0.515,inf
1.5,0.515,inf
1.56,0.515,inf
1.62,0.515,inf
1.68,0.515,inf
1.74,0.515,inf
1.8,0.515,inf
1.86,0.515,inf
1.92,0.515,inf
1.98,0.515,inf
2.04,0.515,inf
2.1,0.515,inf
2.16,0.515,inf
2.22,0.515,inf
2.28,0.515,inf
2.34,0.515,inf
2.4,0.515,inf
2.46,0.515,inf
